dataset,datapoints,feats,numeric,avg_corr,n_binary,num_to_cat_ratio,classes,majority_fraction,best_classifier
anemia,0.016479843504816592,0.26956521739130435,0.13793103448275862,0.08174796427481268,0.3333333333333333,0.10810810810810811,4.0,0.38623507228158394,3.0
aus_rain,0.09893887258730728,1.0,0.5517241379310345,0.2864510632232914,1.0,0.14678899082568808,2.0,0.7797412265154201,0.0
campusrecruitment,6.508904885548823e-05,0.10434782608695652,0.1724137931034483,0.3579376288263208,0.14814814814814814,0.29411764705882354,2.0,0.6883720930232559,0.0
employability,0.0011452154271600768,0.008695652173913035,0.0,0.0,0.09259259259259259,0.0,2.0,0.6875753920386007,2.0
fraud,1.0,0.17391304347826086,1.0,0.23622118828778005,0.0,29.0,2.0,0.5,4.0
loan,0.00848268631300444,0.05217391304347825,0.24137931034482757,0.14507393092014892,0.07407407407407407,0.7777777777777778,2.0,0.706,3.0
mobile_price,0.00320519586526215,0.14782608695652172,0.48275862068965514,0.03448343987280426,0.1111111111111111,1.0769230769230769,4.0,0.25,0.0
stress,0.0016219487309394637,0.10434782608695652,0.6551724137931034,0.568836708006997,0.018518518518518517,6.333333333333333,3.0,0.3390909090909091,3.0
student_testprep,0.0014460323826813873,0.0782608695652174,0.10344827586206896,0.8502436060744868,0.1388888888888889,0.1875,2.0,0.656,0.0
titanic,0.0012507652361149226,0.026086956521739132,0.13793103448275862,0.19470587630042646,0.07407407407407407,0.4444444444444444,2.0,0.6175478065241845,2.0
wine,0.0,0.03478260869565217,0.4482758620689655,0.3049574813503491,0.0,13.0,3.0,0.398876404494382,0.0
drug,3.8701596616776796e-05,0.0,0.06896551724137931,0.06311949726772594,0.06481481481481481,0.25,5.0,0.455,3.0
shipping,0.01903590804500644,0.08695652173913042,0.20689655172413793,0.13150920741030167,0.12037037037037036,0.42857142857142855,2.0,0.5966906082371125,4.0
